PLAYER,TYPE,ACTION,C/A,YDS,TD,INT,CAR,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,FPTS,AVG
"Michael Thomas
NOWR",FA,,0/0,0,0,0,1,-9,0,149,1725,9,185,0,0,0,374.6,23.4
"Chris Godwin
TBWR",FA,,0/0,0,0,0,1,8,0,86,1333,9,120,1,0,0,276.1,19.7
"Julio Jones
AtlWR",FA,,0/0,0,0,0,2,-3,0,99,1394,6,157,0,0,0,274.1,18.3
"Cooper KuppQ
LARWR",FA,,0/1,0,0,0,2,4,0,94,1161,10,134,0,0,0,270.5,16.9
"DeAndre Hopkins
AriWR",FA,,2-Jan,6,1,1,2,18,0,104,1165,7,150,1,0,0,268.54,17.9
"Keenan Allen
LACWR",FA,,0/0,0,0,0,3,16,0,104,1199,6,149,0,0,0,261.5,16.3
"Julian Edelman
NEWR",FA,,2-Feb,47,1,0,8,27,0,100,1117,6,153,1,1,0,256.28,16
"Allen Robinson IIQ
ChiWR",FA,,0/0,0,0,0,1,2,0,98,1147,7,154,0,0,0,254.9,15.9
"Kenny Golladay
DetWR",FA,,0/0,0,0,0,0,0,0,65,1190,11,116,0,1,0,248,15.5
"Amari Cooper
DalWR",FA,,0/0,0,0,0,1,6,0,79,1189,8,119,0,0,0,246.5,15.4
"DeVante Parker
MiaWR",FA,,0/0,0,0,0,0,0,0,72,1202,9,121,0,0,0,246.2,15.4
"Jarvis Landry
CleWR",FA,,0/0,0,0,0,1,10,0,83,1174,6,138,0,0,0,237.4,14.8
"Tyler Lockett
SeaWR",FA,,0/0,0,0,0,4,-5,0,82,1057,8,110,0,0,0,235.2,14.7
"Robert Woods
LARWR",FA,,0/0,0,0,0,17,115,1,90,1134,2,139,0,0,0,232.9,15.5
"Mike Evans
TBWR",FA,,0/0,0,0,0,0,0,0,67,1157,8,115,1,0,0,232.7,17.9
"DJ Moore
CarWR",FA,,0/0,0,0,0,6,40,0,87,1175,4,135,0,1,0,230.5,15.4
"DJ Chark Jr.
JaxWR",FA,,0/0,0,0,0,2,20,0,73,1008,8,118,1,0,0,225.8,15.1
"Tyler Boyd
CinWR",FA,,0/0,0,0,0,4,23,0,90,1046,5,147,0,2,0,222.9,13.9
"Courtland Sutton
DenWR",FA,,1-Jan,38,0,0,3,17,0,72,1112,6,125,0,0,0,222.42,13.9
"John Brown
BufWR",FA,,1-Jan,28,1,0,2,7,0,72,1060,6,115,0,0,0,219.82,14.7
"A.J. BrownQ
TenWR",FA,,0/0,0,0,0,3,60,1,52,1051,8,84,0,0,0,217.1,13.6
"Davante Adams
GBWR",FA,,0/0,0,0,0,0,0,0,83,997,5,127,1,1,0,212.7,17.7
"Michael Gallup
DalWR",FA,,0/0,0,0,0,0,0,0,66,1107,6,113,0,0,0,212.7,15.2
"Stefon DiggsQ
BufWR",FA,,0/1,0,0,0,5,61,0,63,1130,6,94,0,3,0,212.1,14.1
"Odell Beckham Jr.
CleWR",FA,,2-Jan,20,0,0,3,10,0,74,1035,4,133,0,1,0,201.3,12.6
"Jamison Crowder
NYJWR",FA,,0/0,0,0,0,1,4,0,78,833,6,122,0,0,0,197.7,12.4
"Calvin Ridley
AtlWR",FA,,0/0,0,0,0,2,34,0,63,866,7,93,1,0,0,197,15.2
"Marvin Jones Jr.
DetWR",FA,,0/0,0,0,0,2,0,0,62,779,9,91,0,0,0,193.9,14.9
"Terry McLaurin
WshWR",FA,,0/0,0,0,0,0,0,0,58,919,7,93,0,0,0,191.9,13.7
"Emmanuel Sanders
NOWR",FA,,1-Jan,35,1,0,0,0,0,66,869,5,97,1,0,0,190.3,11.2
"Deebo SamuelO
SFWR",FA,,0/0,0,0,0,14,159,3,57,802,3,81,1,1,0,189.1,12.6
"Tyreek HillQ
KCWR",FA,,0/0,0,0,0,8,23,0,58,860,7,89,0,0,0,188.3,15.7
"DK Metcalf
SeaWR",FA,,0/0,0,0,0,2,11,0,58,900,7,100,1,3,0,187.1,11.7
"Cole Beasley
BufWR",FA,,0/0,0,0,0,0,0,0,67,778,6,105,2,0,0,184.8,12.3
"Larry Fitzgerald
AriWR",FA,,0/0,0,0,0,0,0,0,75,804,4,109,0,1,0,177.4,11.1
"Curtis Samuel
CarWR",FA,,0/0,0,0,0,19,130,1,54,627,6,106,0,0,0,171.7,10.7
"Darius Slayton
NYGWR",FA,,0/0,0,0,0,0,0,0,48,740,8,83,0,0,0,170,12.1
"Christian Kirk
AriWR",FA,,0/0,0,0,0,10,93,0,68,709,3,108,1,0,0,168.2,12.9
"Diontae JohnsonQ
PitWR",FA,,0/0,0,0,0,4,41,0,59,680,5,92,0,2,1,163.1,10.2
"Robby Anderson
CarWR",FA,,0/0,0,0,0,1,4,0,52,779,5,96,1,0,0,162.3,10.1
"Mike WilliamsQ
LACWR",FA,,0/0,0,0,0,1,2,0,49,1001,2,90,0,0,0,161.3,10.8
"Dede WestbrookQ
JaxWR",FA,,0/0,0,0,0,5,27,0,66,660,3,101,2,0,0,156.7,10.4
"Chris Conley
JaxWR",FA,,0/0,0,0,0,0,0,0,47,775,5,90,1,0,0,156.5,9.8
